country,age,pop,deaths
Kazakhstan,0,174078,3720
Kazakhstan,1,754758,1220
Kazakhstan,5,879129,396
Kazakhstan,10,808510,298
Kazakhstan,15,720161,561
Kazakhstan,20,622988,673
Kazakhstan,25,733057,752
Kazakhstan,30,732312,965
Kazakhstan,35,612825,1113
Kazakhstan,40,487996,1405
Kazakhstan,45,284799,1226
Kazakhstan,50,503608,2878
Kazakhstan,55,301879,3266
Kazakhstan,60,374317,5212
Kazakhstan,65,256247,6866
Kazakhstan,70,154623,6182
Kazakhstan,75,149917,8199
Kazakhstan,80,88716,9013
Kazakhstan,85,58940,10627
Sweden,0,59727,279
Sweden,1,229775,42
Sweden,5,245172,31
Sweden,10,240110,33
Sweden,15,264957,61
Sweden,20,287176,87
Sweden,25,311111,98
Sweden,30,280991,140
Sweden,35,286899,197
Sweden,40,308238,362
Sweden,45,320172,643
Sweden,50,242230,738
Sweden,55,210785,972
Sweden,60,216058,1640
Sweden,65,224479,2752
Sweden,70,222578,4509
Sweden,75,184102,6745
Sweden,80,140667,9587
Sweden,85,110242,17340
